Player_id,player_name,base_price,set_number,accelerated_list,is_overseas,total_points_sum,total_points_mean,total_points_std,total_points_max,total_points_min,batting_points_sum,batting_points_mean,bowling_points_sum,bowling_points_mean,fielding_points_sum,fielding_points_mean,runs_sum,runs_mean,runs_max,wickets_sum,wickets_mean,wickets_max,catches_sum,catches_mean,total_matches,points_per_match,value_score,consistency_score,batting_specialist,bowling_specialist,all_rounder,cat_AR,cat_BAT,cat_BOWL,cat_WK
136,Suryansh Shedge,1.0,7,0,False,53.0,10.6,15.388307249337076,29.0,-13.0,7.0,1.4,-29.0,-5.8,10.0,2.0,7.0,1.4,4.0,0.0,0.0,0.0,1.0,0.2,5.0,10.6,9.636363636363635,0.6468026159583249,1,0,0,True,False,False,False
137,Brydon Carse,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
138,M Shahrukh Khan,1.0,7,0,False,1942.0,35.30909090909091,31.284165162250858,133.0,-5.0,1143.0,20.78181818181818,-6.0,-0.10909090909090909,260.0,4.7272727272727275,732.0,13.309090909090909,58.0,1.0,0.01818181818181818,1.0,25.0,0.45454545454545453,54.0,35.96296296296296,32.69360269360269,1.0936968861247505,1,0,0,True,False,False,False
139,Mangesh Yadav,1.0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
140,Prashant Veer,1.0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
141,Josh Inglis,1.0,8,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,False,True
142,Quinton de Kock,1.0,8,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,False,True
143,Prabhsimran Singh,1.0,8,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,False,True
144,Jitesh Sharma,1.0,8,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,False,True
145,Dhruv Jurel,1.0,8,0,False,1702.0,41.51219512195122,40.59502552728568,142.0,-9.0,1107.0,27.0,0.0,0.0,200.0,4.878048780487805,680.0,16.585365853658537,70.0,0.0,0.0,0.0,19.0,0.4634146341463415,39.0,43.64102564102564,39.67365967365967,0.9980086463637312,1,0,0,False,False,False,True
